,cpi_id,lawmaker_id,lawmaker,state,body,district,employer_business_interest,industry,disclosure_report,party
12,12,6479039,Bryce Edgmon,AK,HOUSE,37,AK ENTERPRISES,PRINTING & PUBLISHING,https://apps.publicintegrity.org/disclosure/documents/3924971-AK-EDGMON-BRYCE,Democratic
13,13,6479039,Bryce Edgmon,AK,HOUSE,37,CHOGGIUNG LTD.,REAL ESTATE,https://apps.publicintegrity.org/disclosure/documents/3924971-AK-EDGMON-BRYCE,Democratic
14,14,17359571,Dennis Egan,AK,SENATE,Q,,NONE,https://apps.publicintegrity.org/disclosure/documents/3924975-AK-EGAN-DENNIS,Democratic
15,15,6400595,Johnny Jr Ellis,AK,SENATE,J,ELLIS BROTHERS,REAL ESTATE,https://apps.publicintegrity.org/disclosure/documents/3924977-AK-ELLIS-JR-JOHNNY,Not in Open States
16,16,6508954,Neal Foster,AK,HOUSE,39,BERING STRAIGHT DEVELOPMENT COMPANY,BUSINESS SERVICES,https://apps.publicintegrity.org/disclosure/documents/3924980-AK-FOSTER-NEAL-W,Democratic
17,17,6508954,Neal Foster,AK,HOUSE,39,BERING STRAIT NATIVE CORP.,TRIBAL GOVERNMENTS,https://apps.publicintegrity.org/disclosure/documents/3924980-AK-FOSTER-NEAL-W,Democratic
18,18,6508954,Neal Foster,AK,HOUSE,39,SITNASUAK NATIVE CORP.,TRIBAL GOVERNMENTS,https://apps.publicintegrity.org/disclosure/documents/3924980-AK-FOSTER-NEAL-W,Democratic
19,19,6508954,Neal Foster,AK,HOUSE,39,SIU ALASKA CORP.,COMMERCIAL FISHING,https://apps.publicintegrity.org/disclosure/documents/3924980-AK-FOSTER-NEAL-W,Democratic
20,20,6508954,Neal Foster,AK,HOUSE,39,STAMPEDE VENTURES,TRUCKING,https://apps.publicintegrity.org/disclosure/documents/3924980-AK-FOSTER-NEAL-W,Democratic
21,21,4004350,Leslie Gara,AK,HOUSE,20,LES GARA OUTDOORS,EMPLOYER LISTED/CATEGORY UNKNOWN,https://apps.publicintegrity.org/disclosure/documents/3924982-AK-GARA-LESLIE-S-LES,Not in Open States
22,22,4004350,Leslie Gara,AK,HOUSE,20,LET IT SNOW LLC DBA SNOW CITY CAFE,FOOD & BEVERAGE,https://apps.publicintegrity.org/disclosure/documents/3924982-AK-GARA-LESLIE-S-LES,Not in Open States
23,23,6464822,Alberta Gardner,AK,SENATE,I,BROWN BEAR SOFTWARE,COMPUTER EQUIPMENT & SERVICES,https://apps.publicintegrity.org/disclosure/documents/3924984-AK-GARDNER-ALBERTA-BERTA,Not in Open States
24,24,9438054,Lynn Gattis,AK,HOUSE,7,GATTIS AIRCRAFT INC.,AIR TRANSPORT,https://apps.publicintegrity.org/disclosure/documents/3924987-AK-GATTIS-LYNN-A,Not in Open States
25,25,9438054,Lynn Gattis,AK,HOUSE,7,GATTIS FARMS,CROP PRODUCTION & BASIC PROCESSING & LIVESTOCK,https://apps.publicintegrity.org/disclosure/documents/3924987-AK-GATTIS-LYNN-A,Not in Open States
26,26,9438054,Lynn Gattis,AK,HOUSE,7,GATTIS INVESTMENTS,EMPLOYER LISTED/CATEGORY UNKNOWN,https://apps.publicintegrity.org/disclosure/documents/3924987-AK-GATTIS-LYNN-A,Not in Open States
27,27,6692565,Catherine Giessel,AK,SENATE,N,EXTREME ACCESS,CONSTRUCTION SERVICES,https://apps.publicintegrity.org/disclosure/documents/3924990-AK-GIESSEL-CATHERINE-A-CATHY,Not in Open States
28,28,6400662,Max Jr Gruenberg,AK,HOUSE,16,,NONE,https://apps.publicintegrity.org/disclosure/documents/3924994-AK-GRUENBERG-JR-MAX-F,Not in Open States
29,29,4004574,David Guttenberg,AK,HOUSE,4,,NONE,https://apps.publicintegrity.org/disclosure/documents/3924998-AK-GUTTENBERG-DAVID,Democratic
30,30,12997261,Michael Hawker,AK,HOUSE,28,HAWKERS SPORTING GOODS,MISCELLANEOUS MANUFACTURING & DISTRIBUTING,https://apps.publicintegrity.org/disclosure/documents/3925001-AK-HAWKER-MICHAEL,Not in Open States
31,31,12997261,Michael Hawker,AK,HOUSE,28,MICHAEL C. HAWKER ACCOUNTING/CONSULTING,ACCOUNTANTS,https://apps.publicintegrity.org/disclosure/documents/3925001-AK-HAWKER-MICHAEL,Not in Open States
32,32,6495549,Bob Herron,AK,HOUSE,38,BETHEL DRILLING WELDING INC.,SPECIAL TRADE CONTRACTORS,https://apps.publicintegrity.org/disclosure/documents/3925004-AK-HERRON-BOB,Not in Open States
33,33,6495549,Bob Herron,AK,HOUSE,38,GOLDEN EAGLE UNLIMITED LLC,MISCELLANEOUS TRANSPORT,https://apps.publicintegrity.org/disclosure/documents/3925004-AK-HERRON-BOB,Not in Open States
34,34,6495549,Bob Herron,AK,HOUSE,38,KISARELIK UNLIMITED,REAL ESTATE,https://apps.publicintegrity.org/disclosure/documents/3925004-AK-HERRON-BOB,Not in Open States
35,35,6495549,Bob Herron,AK,HOUSE,38,NEW YORK CREEK ASSOCIATES,MINING,https://apps.publicintegrity.org/disclosure/documents/3925004-AK-HERRON-BOB,Not in Open States
36,36,6400620,Lyman Hoffman,AK,SENATE,S,BETHEL DRILLING WELDING INC.,SPECIAL TRADE CONTRACTORS,https://apps.publicintegrity.org/disclosure/documents/3925006-AK-HOFFMAN-LYMAN-F,Democratic
37,37,6400620,Lyman Hoffman,AK,SENATE,S,BETHEL NATIVE CORP.,TRIBAL GOVERNMENTS,https://apps.publicintegrity.org/disclosure/documents/3925006-AK-HOFFMAN-LYMAN-F,Democratic
38,38,6400620,Lyman Hoffman,AK,SENATE,S,BETHEL SOLUTIONS,EMPLOYER LISTED/CATEGORY UNKNOWN,https://apps.publicintegrity.org/disclosure/documents/3925006-AK-HOFFMAN-LYMAN-F,Democratic
39,39,6400620,Lyman Hoffman,AK,SENATE,S,CALISTA CORP.,TRIBAL GOVERNMENTS,https://apps.publicintegrity.org/disclosure/documents/3925006-AK-HOFFMAN-LYMAN-F,Democratic
40,40,6400620,Lyman Hoffman,AK,SENATE,S,GOLDEN EAGLE UNLIMITED LLC,MISCELLANEOUS TRANSPORT,https://apps.publicintegrity.org/disclosure/documents/3925006-AK-HOFFMAN-LYMAN-F,Democratic
41,41,6400620,Lyman Hoffman,AK,SENATE,S,KISARELIK UNLIMITED,REAL ESTATE,https://apps.publicintegrity.org/disclosure/documents/3925006-AK-HOFFMAN-LYMAN-F,Democratic
42,42,6400620,Lyman Hoffman,AK,SENATE,S,NEW YORK CREEK ASSOCIATES,MINING,https://apps.publicintegrity.org/disclosure/documents/3925006-AK-HOFFMAN-LYMAN-F,Democratic
43,43,13010973,Charlie Huggins,AK,SENATE,D,GULF COAST CONDO RENTING,REAL ESTATE,https://apps.publicintegrity.org/disclosure/documents/3925008-AK-HUGGINS-CHARLIE-R-CHARLIE,Not in Open States
44,44,13789707,Shelley Hughes,AK,HOUSE,11,,NONE,https://apps.publicintegrity.org/disclosure/documents/3925011-AK-HUGHES-SHELLEY-S,Republican
45,45,6671132,Craig Johnson,AK,HOUSE,24,,NONE,https://apps.publicintegrity.org/disclosure/documents/3925013-AK-JOHNSON-CRAIG-W,Not in Open States
46,46,9400827,Andrew Josephson,AK,HOUSE,17,,NONE,https://apps.publicintegrity.org/disclosure/documents/3925016-AK-JOSEPHSON-ANDREW-L-ANDY,Not in Open States
47,47,6464847,Scott Kawasaki,AK,HOUSE,1,,NONE,https://apps.publicintegrity.org/disclosure/documents/3925020-AK-KAWASAKI-SCOTT,Democratic
48,48,12997197,Wes Keller,AK,HOUSE,10,,NONE,https://apps.publicintegrity.org/disclosure/documents/3925022-AK-KELLER-WES,Not in Open States
49,49,6615067,Peter Kelly,AK,SENATE,A,,NONE,https://apps.publicintegrity.org/disclosure/documents/3925023-AK-KELLY-PETER,Not in Open States
50,50,24764589,Sam Iii Kito,AK,HOUSE,33,K-5 PARTNERSHIP,REAL ESTATE,https://apps.publicintegrity.org/disclosure/documents/3925026-AK-KITO-III-SAM-S,Not in Open States
51,51,24764589,Sam Iii Kito,AK,HOUSE,33,KCS LLC,EMPLOYER LISTED/CATEGORY UNKNOWN,https://apps.publicintegrity.org/disclosure/documents/3925026-AK-KITO-III-SAM-S,Not in Open States
52,52,13789740,Jonathan Kreiss-Tomkins,AK,HOUSE,35,(SALMON FISHING),COMMERCIAL FISHING,https://apps.publicintegrity.org/disclosure/documents/3925027-AK-KREISS-TOMKINS-JONATHAN-S,Democratic
53,53,13789740,Jonathan Kreiss-Tomkins,AK,HOUSE,35,OZYMANDIAS SERVICES,EMPLOYER LISTED/CATEGORY UNKNOWN,https://apps.publicintegrity.org/disclosure/documents/3925027-AK-KREISS-TOMKINS-JONATHAN-S,Democratic
54,54,649492,Gabrielle Ledoux,AK,HOUSE,15,BRISTOL BAY DRIFT NET PERMIT,COMMERCIAL FISHING,https://apps.publicintegrity.org/disclosure/documents/3925029-AK-LEDOUX-GABRIELLE,Not in Open States
55,55,12997254,Robert Lynn,AK,HOUSE,26,,NONE,https://apps.publicintegrity.org/disclosure/documents/3925030-AK-LYNN-ROBERT-S,Not in Open States
56,56,6671121,Anna Mackinnon,AK,SENATE,G,HARRIETT WARNER ESTATE,EMPLOYER LISTED/CATEGORY UNKNOWN,https://apps.publicintegrity.org/disclosure/documents/3925032-AK-MACKINNON-ANNA-I-FAIRCLOUGH,Not in Open States
57,57,6671121,Anna Mackinnon,AK,SENATE,G,MACKINCO,REAL ESTATE,https://apps.publicintegrity.org/disclosure/documents/3925032-AK-MACKINNON-ANNA-I-FAIRCLOUGH,Not in Open States
58,58,6604246,Lesil Mcguire,AK,SENATE,L,,NONE,https://apps.publicintegrity.org/disclosure/documents/3925035-AK-MCGUIRE-LESIL,Not in Open States
59,59,6614391,Kevin Meyer,AK,SENATE,M,CONOCOPHILLIPS,OIL & GAS,https://apps.publicintegrity.org/disclosure/documents/3925036-AK-MEYER-KEVIN-G,Republican
60,60,9404861,Peter Micciche,AK,SENATE,O,CONOCOPHILLIPS,OIL & GAS,https://apps.publicintegrity.org/disclosure/documents/3925040-AK-MICCICHE-PETER,Republican
61,61,9404861,Peter Micciche,AK,SENATE,O,INLET RAIDER SEAFOODS,COMMERCIAL FISHING,https://apps.publicintegrity.org/disclosure/documents/3925040-AK-MICCICHE-PETER,Republican
62,62,6678391,Charisse Millett,AK,HOUSE,25,,NONE,https://apps.publicintegrity.org/disclosure/documents/3925043-AK-MILLETT-CHARISSE-E,Republican
63,63,12997159,Cathy Munoz,AK,HOUSE,34,JUSTICE DATA GROUP,COMPUTER EQUIPMENT & SERVICES,https://apps.publicintegrity.org/disclosure/documents/3925044-AK-MUNOZ-CATHY-ENGSTROM,Not in Open States
64,64,12997159,Cathy Munoz,AK,HOUSE,34,MUNOZ FAMILY PARTNERSHIP,REAL ESTATE,https://apps.publicintegrity.org/disclosure/documents/3925044-AK-MUNOZ-CATHY-ENGSTROM,Not in Open States
65,65,12997159,Cathy Munoz,AK,HOUSE,34,RIE MUNOZ LTD.,RETAIL SALES,https://apps.publicintegrity.org/disclosure/documents/3925044-AK-MUNOZ-CATHY-ENGSTROM,Not in Open States
66,66,13789744,Benjamin Nageak,AK,HOUSE,40,ARCTIC SLOPE REGIONAL CORP.,OIL & GAS,https://apps.publicintegrity.org/disclosure/documents/3925046-AK-NAGEAK-BENJAMIN-P-BENNIE,Not in Open States
67,67,13789744,Benjamin Nageak,AK,HOUSE,40,B&B ASSOCIATES,ENVIRONMENTAL SERVICES & EQUIPMENT,https://apps.publicintegrity.org/disclosure/documents/3925046-AK-NAGEAK-BENJAMIN-P-BENNIE,Not in Open States
68,68,13789744,Benjamin Nageak,AK,HOUSE,40,NORTH SHORE BOROUGH,CIVIL SERVANTS/PUBLIC OFFICIALS,https://apps.publicintegrity.org/disclosure/documents/3925046-AK-NAGEAK-BENJAMIN-P-BENNIE,Not in Open States
69,69,13789744,Benjamin Nageak,AK,HOUSE,40,UQPIAGVIK INUPIAT CORP.,TRIBAL GOVERNMENTS,https://apps.publicintegrity.org/disclosure/documents/3925046-AK-NAGEAK-BENJAMIN-P-BENNIE,Not in Open States
70,70,6665815,Mark Neuman,AK,HOUSE,8,HEIRLOOM WOOD CRAFTERS,MISCELLANEOUS MANUFACTURING & DISTRIBUTING,https://apps.publicintegrity.org/disclosure/documents/3925047-AK-NEUMAN-MARK-A,Republican
71,71,6412276,Donald Olson,AK,SENATE,T,DONALD OLSON ENTERPRISES,AIR TRANSPORT,https://apps.publicintegrity.org/disclosure/documents/3925050-AK-OLSON-DONALD-C-DONNY,Not in Open States
72,72,6412276,Donald Olson,AK,SENATE,T,HAGELAND AVIATION,AIR TRANSPORT,https://apps.publicintegrity.org/disclosure/documents/3925050-AK-OLSON-DONALD-C-DONNY,Not in Open States
73,73,6412276,Donald Olson,AK,SENATE,T,NORTH SHORE BOROUGH,CIVIL SERVANTS/PUBLIC OFFICIALS,https://apps.publicintegrity.org/disclosure/documents/3925050-AK-OLSON-DONALD-C-DONNY,Not in Open States
74,74,6412276,Donald Olson,AK,SENATE,T,OLSON VENTURES,AIR TRANSPORT,https://apps.publicintegrity.org/disclosure/documents/3925050-AK-OLSON-DONALD-C-DONNY,Not in Open States
75,75,6412276,Donald Olson,AK,SENATE,T,POLAR EXPRESS AIRWAYS,AIR TRANSPORT,https://apps.publicintegrity.org/disclosure/documents/3925050-AK-OLSON-DONALD-C-DONNY,Not in Open States
76,76,12997267,Kurt Olson,AK,HOUSE,30,,NONE,https://apps.publicintegrity.org/disclosure/documents/3925052-AK-OLSON-KURT,Not in Open States
77,77,9411438,Daniel Ortiz,AK,HOUSE,36,SEA WIND AVIATION,AIR TRANSPORT,https://apps.publicintegrity.org/disclosure/documents/3925053-AK-ORTIZ-DANIEL-H,Not in Open States
78,78,6692534,Lance Pruitt,AK,HOUSE,27,PRUITT INTERNATIONAL ENTERPRISES,EMPLOYER LISTED/CATEGORY UNKNOWN,https://apps.publicintegrity.org/disclosure/documents/3925056-AK-PRUITT-LANCE,Republican
79,79,6692534,Lance Pruitt,AK,HOUSE,27,PS STRATEGIES,BUSINESS SERVICES,https://apps.publicintegrity.org/disclosure/documents/3925056-AK-PRUITT-LANCE,Republican
80,80,9448191,Lora Reinbold,AK,HOUSE,14,DESHKA LANDING OUTDOOR ASSOCIATION,MISCELLANEOUS TRANSPORT,https://apps.publicintegrity.org/disclosure/documents/3925058-AK-REINBOLD-LORA-H,Republican
81,81,6692528,Dan Saddler,AK,HOUSE,13,CARLYLE REAL ESTATE LP XIII,REAL ESTATE,https://apps.publicintegrity.org/disclosure/documents/3925059-AK-SADDLER-DAN,Republican
82,82,6692528,Dan Saddler,AK,HOUSE,13,TRIPLE B INC.,AIR TRANSPORT,https://apps.publicintegrity.org/disclosure/documents/3925059-AK-SADDLER-DAN,Republican
83,83,6604267,Paul Seaton,AK,HOUSE,31,KNS MARINE,MISCELLANEOUS TRANSPORT,https://apps.publicintegrity.org/disclosure/documents/3925061-AK-SEATON-PAUL-K,Republican
84,84,13010956,Bert Stedman,AK,SENATE,R,PIONEER CAPITAL,MISCELLANEOUS FINANCE,https://apps.publicintegrity.org/disclosure/documents/3925064-AK-STEDMAN-BERT-K,Republican
85,85,5087125,Gary Stevens,AK,SENATE,P,,NONE,https://apps.publicintegrity.org/disclosure/documents/3925065-AK-STEVENS-GARY-LEE,Republican
86,86,6604189,Bill Stoltze,AK,SENATE,F,,NONE,https://apps.publicintegrity.org/disclosure/documents/3925068-AK-STOLTZE-BILL,Not in Open States
87,87,9402901,Louise Stutes,AK,HOUSE,32,,NONE,https://apps.publicintegrity.org/disclosure/documents/3925071-AK-STUTES-LOUISE,Republican
88,88,6692467,David Talerico,AK,HOUSE,6,,NONE,https://apps.publicintegrity.org/disclosure/documents/3925072-AK-TALERICO-DAVID-M-DAVE,Not in Open States
89,89,13789725,Geran Tarr,AK,HOUSE,19,UNIVERSITY OF ALASKA,EDUCATION,https://apps.publicintegrity.org/disclosure/documents/3925075-AK-TARR-GERAN,Democratic
90,90,12997186,Steve Thompson,AK,HOUSE,2,COOK-HAUGEBURG LLC,ACCOUNTANTS,https://apps.publicintegrity.org/disclosure/documents/3925077-AK-THOMPSON-STEVE-M,Republican
91,91,9654575,Cathy Tilton,AK,HOUSE,12,CROSS CREEK INC.,REAL ESTATE,https://apps.publicintegrity.org/disclosure/documents/3925080-AK-TILTON-CATHY-LYNN,Republican
92,92,9654575,Cathy Tilton,AK,HOUSE,12,OCEAN FINANCING,EMPLOYER LISTED/CATEGORY UNKNOWN,https://apps.publicintegrity.org/disclosure/documents/3925080-AK-TILTON-CATHY-LYNN,Republican
93,93,6464933,Chris Tuck,AK,HOUSE,23,ALASKA ELECTRIC TRUST FUNDS,ELECTRIC UTILITIES,https://apps.publicintegrity.org/disclosure/documents/3925082-AK-TUCK-CHRIS-S,Democratic
94,94,6464933,Chris Tuck,AK,HOUSE,23,ELECTRICAL WORKERS LOCAL 1547,GENERAL TRADE UNIONS,https://apps.publicintegrity.org/disclosure/documents/3925082-AK-TUCK-CHRIS-S,Democratic
95,95,9399402,Elizabeth Vazquez,AK,HOUSE,22,,NONE,https://apps.publicintegrity.org/disclosure/documents/3925086-AK-VAZQUEZ-ELIZABETH,Not in Open States
96,96,6479095,William Wielechowski,AK,SENATE,H,ELECTRICAL WORKERS LOCAL 1547,GENERAL TRADE UNIONS,https://apps.publicintegrity.org/disclosure/documents/3925088-AK-WIELECHOWSKI-WILLIAM-P,Not in Open States
97,97,6692490,Tammie Wilson,AK,HOUSE,3,,NONE,https://apps.publicintegrity.org/disclosure/documents/3925090-AK-WILSON-TAMMIE,Republican
98,98,9607684,Adam Wool,AK,HOUSE,5,BLUE LOON INC. NIGHTCLUB,FOOD & BEVERAGE,https://apps.publicintegrity.org/disclosure/documents/3925093-AK-WOOL-ADAM-L,Democratic
99,99,21346968,William Ainsworth,AL,HOUSE,27,DREAM RANCH LLC,HUNTING,https://apps.publicintegrity.org/disclosure/documents/3925095-AL-AINSWORTH-WILLIAM-J-WILL,Not in Open States
100,100,6568015,Greg Albritton,AL,SENATE,22,"GREG ALBRITTON, ATTORNEY",LAWYERS & LOBBYISTS,https://apps.publicintegrity.org/disclosure/documents/3925099-AL-ALBRITTON-GREG,Republican
101,101,6464074,Louise Alexander,AL,HOUSE,56,ALEXANDER UNITY FLOWERS,AGRICULTURAL SERVICES & PRODUCTS,https://apps.publicintegrity.org/disclosure/documents/3925101-AL-ALEXANDER-LOUISE-LULU,Democratic
102,102,6568032,Gerald Allen,AL,SENATE,21,CASHCO MARKETING,BUSINESS SERVICES,https://apps.publicintegrity.org/disclosure/documents/3925105-AL-ALLEN-GERALD,Republican
103,103,12997448,Alan Baker,AL,HOUSE,66,,NONE,https://apps.publicintegrity.org/disclosure/documents/3925108-AL-BAKER-ALAN,Republican
104,104,6568142,Mike Ball,AL,HOUSE,10,,NONE,https://apps.publicintegrity.org/disclosure/documents/3925112-AL-BALL-MIKE,Republican
105,105,6370701,George Bandy,AL,HOUSE,83,ST. JAMES BAPTIST CHURCH,CLERGY,https://apps.publicintegrity.org/disclosure/documents/3925115-AL-BANDY-GEORGE-TOOTIE,Not in Open States
106,106,21273335,Bill Beasley,AL,SENATE,28,PRATTS STATION LLC DBA CLAYTON DRUG COMPANY,RETAIL SALES,https://apps.publicintegrity.org/disclosure/documents/3925118-AL-BEASLEY-BILL,Not in Open States
107,107,12997497,Paul Beckman,AL,HOUSE,88,BECKMAN AND ASSOCIATES,LAWYERS & LOBBYISTS,https://apps.publicintegrity.org/disclosure/documents/3925121-AL-BECKMAN-PAUL,Republican
108,108,12997447,Elaine Beech,AL,HOUSE,65,,NONE,https://apps.publicintegrity.org/disclosure/documents/3925124-AL-BEECH-ELAINE,Democratic
109,109,6370950,Marcel Black,AL,HOUSE,3,"BLACK & HUGHSTON, P.C.",LAWYERS & LOBBYISTS,https://apps.publicintegrity.org/disclosure/documents/3925126-AL-BLACK-MARCEL,Democratic
110,110,6370950,Marcel Black,AL,HOUSE,3,NORTH ALABAMA ABSTRACT & GUARANTY COMPANY,REAL ESTATE,https://apps.publicintegrity.org/disclosure/documents/3925126-AL-BLACK-MARCEL,Democratic
111,111,21273389,Slade Blackwell,AL,SENATE,15,INKANA DEVELOPMENT,REAL ESTATE,https://apps.publicintegrity.org/disclosure/documents/3925130-AL-BLACKWELL-SLADE,Republican
112,112,21273389,Slade Blackwell,AL,SENATE,15,SALTER & TAPSCOTT SURGICAL ASSOCIATES LLC,HEALTH PROFESSIONALS,https://apps.publicintegrity.org/disclosure/documents/3925130-AL-BLACKWELL-SLADE,Republican
113,113,12997498,Alan Boothe,AL,HOUSE,89,,NONE,https://apps.publicintegrity.org/disclosure/documents/3925132-AL-BOOTHE-ALAN-C,Not in Open States
114,114,12997372,Barbara Boyd,AL,HOUSE,32,,NONE,https://apps.publicintegrity.org/disclosure/documents/3925133-AL-BOYD-BARBARA-BIGSBY,Not in Open States
115,115,12997520,Napoleon Jr Bracy,AL,HOUSE,98,AUSTAL USA,MISCELLANEOUS DEFENSE,https://apps.publicintegrity.org/disclosure/documents/3925135-AL-BRACY-JR-NAPOLEON,Not in Open States
116,116,12997469,Dick Brewbaker,AL,SENATE,25,BREWBAKER MTVS INC,AUTOMOTIVE,https://apps.publicintegrity.org/disclosure/documents/3925137-AL-BREWBAKER-DICK-L,Republican
117,117,12997469,Dick Brewbaker,AL,SENATE,25,BREWBAKER PROPERTIES,REAL ESTATE,https://apps.publicintegrity.org/disclosure/documents/3925137-AL-BREWBAKER-DICK-L,Republican
118,118,12997388,L K Brown,AL,HOUSE,40,K.L. BROWN FUNERAL HOME AND CREMATORY,MISCELLANEOUS SERVICES,https://apps.publicintegrity.org/disclosure/documents/3925139-AL-BROWN-K-L-KOVEN,Not in Open States
119,119,12997388,L K Brown,AL,HOUSE,40,K.L. BROWN MEMORY CHAPEL,MISCELLANEOUS SERVICES,https://apps.publicintegrity.org/disclosure/documents/3925139-AL-BROWN-K-L-KOVEN,Not in Open States
120,120,6371334,James Buskey,AL,HOUSE,99,,NONE,https://apps.publicintegrity.org/disclosure/documents/3925143-AL-BUSKEY-JAMES-E,Not in Open States
121,121,6688447,Paul Bussman,AL,SENATE,4,CULLMAN SAVINGS BANK,COMMERCIAL BANKS,https://apps.publicintegrity.org/disclosure/documents/3925146-AL-BUSSMAN-PAUL,Republican
122,122,6688447,Paul Bussman,AL,SENATE,4,"PAUL D. BUSSMAN DMD, PC",HEALTH PROFESSIONALS,https://apps.publicintegrity.org/disclosure/documents/3925146-AL-BUSSMAN-PAUL,Republican
123,123,6688447,Paul Bussman,AL,SENATE,4,PHB PROPERTY LLC,REAL ESTATE,https://apps.publicintegrity.org/disclosure/documents/3925146-AL-BUSSMAN-PAUL,Republican
124,124,6982636,Mack Butler,AL,HOUSE,30,BUTLER ELECTRICAL CONTRACTORS,SPECIAL TRADE CONTRACTORS,https://apps.publicintegrity.org/disclosure/documents/3925148-AL-BUTLER-MACK-N,Republican
125,125,6982636,Mack Butler,AL,HOUSE,30,BUTLER PROPERTIES,REAL ESTATE,https://apps.publicintegrity.org/disclosure/documents/3925148-AL-BUTLER-MACK-N,Republican
126,126,6568575,Jim Carns,AL,HOUSE,48,,NONE,https://apps.publicintegrity.org/disclosure/documents/3932206-AL-CARNS-JIM,Republican
127,127,21273424,Clyde Jr Chambliss,AL,SENATE,30,CHAMBLISS ENGINEERING LLC,CONSTRUCTION SERVICES,https://apps.publicintegrity.org/disclosure/documents/3925151-AL-CHAMBLISS-JR-CLYDE,Not in Open States
128,128,12997494,Donnie Chesteen,AL,HOUSE,87,,NONE,https://apps.publicintegrity.org/disclosure/documents/3925155-AL-CHESTEEN-DONNIE,Republican
129,129,16753387,Adline Clarke,AL,HOUSE,97,BLACK CLASSICS BOOKS & GIFTS,RETAIL SALES,https://apps.publicintegrity.org/disclosure/documents/3925159-AL-CLARKE-ADLINE-CECLINE,Democratic
130,130,16753387,Adline Clarke,AL,HOUSE,97,MOBILE DEVELOPMENT ENTERPRISES,EMPLOYER LISTED/CATEGORY UNKNOWN,https://apps.publicintegrity.org/disclosure/documents/3925159-AL-CLARKE-ADLINE-CECLINE,Democratic
131,131,6568687,Steve Clouse,AL,HOUSE,93,,NONE,https://apps.publicintegrity.org/disclosure/documents/3925160-AL-CLOUSE-STEVE,Republican
132,132,6381363,Linda Coleman,AL,SENATE,20,CITY OF BIRMINGHAM,CIVIL SERVANTS/PUBLIC OFFICIALS,https://apps.publicintegrity.org/disclosure/documents/3925161-AL-COLEMAN-LINDA,Democratic
133,133,12997426,Merika Coleman,AL,HOUSE,57,MILES COLLEGE,EDUCATION,https://apps.publicintegrity.org/disclosure/documents/3925165-AL-COLEMAN-MERIKA,Not in Open States
134,134,6688205,Terri Collins,AL,HOUSE,8,,NONE,https://apps.publicintegrity.org/disclosure/documents/3925169-AL-COLLINS-TERRI,Republican
135,135,21777041,Anthony Daniels,AL,HOUSE,53,5045 MEMORIAL PARKWAY NW (?),EMPLOYER LISTED/CATEGORY UNKNOWN,https://apps.publicintegrity.org/disclosure/documents/3925172-AL-DANIELS-ANTHONY,Democratic
